         MJD         m       dm      uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset    duJy_new
57834.527024 18.900000      NaN     28.0    24 c    0    0.98 210.91067 54.31166  2435.80  7114.08 3.82 3.67  46.3 -0.423    19.04 21.02 02a57834o0506c   0x0000           0   25.442931
57834.542612 19.351140      NaN      0.0    22 c    0    1.16 210.91067 54.31166  2455.00  6998.94 4.01 3.88  51.8 -0.407    18.92 20.83 02a57834o0535c  0x80000           0   23.565711
57834.554663 19.212347      NaN    -30.0    25 c    0    0.82 210.91067 54.31166  2409.90  7060.33 4.05 3.88  49.6 -0.393    18.86 20.73 02a57834o0557c   0x0000           0   26.388307
57838.492206 19.241693      NaN      4.0    23 c    0    0.92 210.91067 54.31166   128.87   588.04 4.44 4.39 -73.2 -0.376    19.01 21.19 02a57838o0454c  0x80000           0   24.501893
57838.492735 18.967180      NaN     28.0    22 c    0    0.99 210.91067 54.31166  1491.27 10396.96 4.33 4.18  26.1 -0.383    19.04 21.20 02a57838o0455c   0x0000           0   23.565711
57838.494486 19.142275      NaN     14.0    22 c    0    1.10 210.91067 54.31166  9019.90    91.85 4.02 3.88  39.5 -0.447    19.06 21.21 02a57838o0458c  0x80000           0   23.565711
57838.495005 18.990530      NaN     29.0    21 c    0    1.20 210.91067 54.31166 10384.16  9904.13 4.46 4.09  80.9 -0.413    19.01 21.18 02a57838o0459c  0x80000           0   22.634989
57838.505700 19.401649      NaN    -19.0    21 c    0    1.28 210.91067 54.31166 10312.67  9828.93 4.42 4.10  82.0 -0.403    19.02 21.17 02a57838o0479c  0x80000           0   22.634989
57838.524714 19.510313      NaN     -5.0    19 c    0    0.96 210.91067 54.31166   187.44   504.84 4.25 4.18 -14.6 -0.373    19.03 21.14 02a57838o0515c  0x80000           0   20.792853
57838.528687 19.212347      NaN    -38.0    25 c    0    0.94 210.91067 54.31166  1540.21 10311.96 4.13 3.95  18.6 -0.402    19.04 21.15 02a57838o0522c  0x80000           0   26.388307
57838.541835 19.401649      NaN     -8.0    21 c    0    1.23 210.91067 54.31166  1512.41 10374.48 4.23 3.75   9.1 -0.385    19.03 21.12 02a57838o0547c  0x80000           0   22.634989
57838.542881 19.454622      NaN    -13.0    20 c    0    1.07 210.91067 54.31166   153.98   560.39 4.09 3.98 -87.9 -0.398    19.06 21.09 02a57838o0549c  0x80000           0   21.710429
57842.515338 19.256669      NaN    -12.0    24 c    0    0.88 210.91067 54.31166  3835.68  6725.27 4.04 3.91  55.3 -0.397    18.98 21.04 02a57842o0427c  0x80000           0   25.442931
57842.526432 19.351140      NaN    -18.0    22 c    0    1.23 210.91067 54.31166  3878.85  6800.94 4.26 4.09  67.1 -0.387    18.93 21.04 02a57842o0448c   0x0000           0   23.565711
57842.544005 19.226921      NaN      8.0    22 c    0    1.02 210.91067 54.31166  3899.93  6680.71 4.12 3.96  75.6 -0.378    18.94 20.97 02a57842o0481c  0x80000           0   23.565711
57862.478560 19.454622      NaN    -23.0    20 c    0    1.22 210.91067 54.31166  3527.99  6957.03 3.82 3.70  86.0 -0.396    18.84 20.47 02a57862o0525c  0x80000           0   21.710429
57862.500554 19.183773      NaN     17.0    20 c    0    1.47 210.91067 54.31166  3505.09  6917.07 3.78 3.66  86.7 -0.403    18.76 20.25 02a57862o0570c  0x80000           0   21.710429
57862.510937 18.776955      NaN     46.0    22 c    0    1.01 210.91067 54.31166  3561.95  6992.76 3.72 3.61  84.8 -0.412    18.74 20.17 02a57862o0591c  0x80000           0   23.565711
57862.522570 18.720295      NaN     46.0    24 c    0    0.98 210.91067 54.31166  3585.92  6874.31 3.74 3.65  72.0 -0.401    18.68 20.07 02a57862o0615c  0x80000           0   25.442931
57862.530436 19.351140      NaN      6.0    20 c    0    1.54 210.91067 54.31166  3552.82  6933.22 3.69 3.59  76.2 -0.414    18.67 20.02 02a57862o0631c  0x80000           0   21.710429
57870.492158 19.719755      NaN     11.0    12 c    0    1.09 210.91067 54.31166  1900.17  8600.96 2.43 2.27   7.5 -0.466    19.53 20.68 02a57870o0440c   0x0000           0   14.674561
57870.509600 20.103715      NaN    -11.0    11 c    0    1.31 210.91067 54.31166  1876.99  8563.02 2.44 2.28   5.7 -0.462    19.48 20.63 02a57870o0473c  0x80000           0   13.868769
57870.517991 20.103715      NaN    -10.0    11 c    0    1.18 210.91067 54.31166  1932.26  8635.00 2.46 2.31   7.0 -0.469    19.46 20.60 02a57870o0489c   0x0000           0   13.868769
57870.530201 19.529530      NaN     20.0    12 c    0    0.95 210.91067 54.31166  1957.94  8517.49 2.48 2.35   1.3 -0.461    19.42 20.58 02a57870o0512c  0x80000           0   14.674561
