sigma_kern  peak_appmag  peak_flux sigma_sim  pct_detec_5.51  pct_detec_11.62  pct_detec_16.96  pct_detec_24.12  pct_detec_38.60  pct_detec_52.47  pct_detec_72.13  pct_detec_99.48
        15        16.37    1029.51         2             NaN        88.186020              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.37    1029.51         5             NaN        99.530792              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.37    1029.51        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.37    1029.51        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.37    1029.51        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.37    1029.51       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.00    1445.44         2             NaN        89.649273              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.00    1445.44         5             NaN        99.655073              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.00    1445.44        20             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.00    1445.44        40             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.00    1445.44        80             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        15        16.00    1445.44       120             NaN       100.000000              NaN              NaN              NaN              NaN              NaN              NaN
        25        23.00       2.29         2             NaN              NaN         0.000000              NaN              NaN              NaN              NaN              NaN
        25        23.00       2.29         5             NaN              NaN         0.115942              NaN              NaN              NaN              NaN              NaN
        25        23.00       2.29        20             NaN              NaN         0.346620              NaN              NaN              NaN              NaN              NaN
        25        23.00       2.29        40             NaN              NaN         1.578947              NaN              NaN              NaN              NaN              NaN
        25        23.00       2.29        80             NaN              NaN         3.435954              NaN              NaN              NaN              NaN              NaN
        25        23.00       2.29       120             NaN              NaN         3.593839              NaN              NaN              NaN              NaN              NaN
        25        22.63       3.22         2             NaN              NaN         0.087694              NaN              NaN              NaN              NaN              NaN
        25        22.63       3.22         5             NaN              NaN         0.309162              NaN              NaN              NaN              NaN              NaN
        25        22.63       3.22        20             NaN              NaN         1.302378              NaN              NaN              NaN              NaN              NaN
