sigma_kern  peak_appmag  peak_flux sigma_sim
       200        21.89       6.34        80
       200        21.89       6.34       110
       200        21.89       6.34       150
       200        21.89       6.34       200
       200        21.89       6.34       250
       200        21.89       6.34       300
       200        21.53       8.90        20
       200        21.53       8.90        40
       200        21.53       8.90        80
       200        21.53       8.90       110
       200        21.53       8.90       150
       200        21.53       8.90       200
       200        21.53       8.90       250
       200        21.53       8.90       300
       200        21.16      12.50        20
       200        21.16      12.50        40
       200        21.16      12.50        80
       200        21.16      12.50       110
       200        21.16      12.50       150
       200        21.16      12.50       200
       200        21.16      12.50       250
       200        21.16      12.50       300
       200        20.79      17.55        20
       200        20.79      17.55        40
       200        20.79      17.55        80
       200        20.79      17.55       110
       200        20.79      17.55       150
       200        20.79      17.55       200
       200        20.79      17.55       250
       200        20.79      17.55       300
       200        20.42      24.64        20
       200        20.42      24.64        40
       200        20.42      24.64        80
       200        20.42      24.64       110
       200        20.42      24.64       150
       200        20.42      24.64       200
       200        20.42      24.64       250
       200        20.42      24.64       300
       200        20.05      34.59        20
       200        20.05      34.59        40
       200        20.05      34.59        80
       200        20.05      34.59       110
       200        20.05      34.59       150
       200        20.05      34.59       200
       200        20.05      34.59       250
       200        20.05      34.59       300
       200        19.68      48.56        20
       200        19.68      48.56        40
       200        19.68      48.56        80
       200        19.68      48.56       110
       200        19.68      48.56       150
       200        19.68      48.56       200
       200        19.68      48.56       250
       200        19.68      48.56       300
       200        19.32      68.18        20
       200        19.32      68.18        40
       200        19.32      68.18        80
       200        19.32      68.18       110
       200        19.32      68.18       150
       200        19.32      68.18       200
       200        19.32      68.18       250
       200        19.32      68.18       300
       200        18.95      95.73        20
       200        18.95      95.73        40
       200        18.95      95.73        80
       200        18.95      95.73       110
       200        18.95      95.73       150
       200        18.95      95.73       200
       200        18.95      95.73       250
       200        18.95      95.73       300
       200        18.58     134.41        20
       200        18.58     134.41        40
       200        18.58     134.41        80
       200        18.58     134.41       110
       200        18.58     134.41       150
       200        18.58     134.41       200
       200        18.58     134.41       250
       200        18.58     134.41       300
       200        18.21     188.71        20
       200        18.21     188.71        40
       200        18.21     188.71        80
       200        18.21     188.71       110
       200        18.21     188.71       150
       200        18.21     188.71       200
       200        18.21     188.71       250
       200        18.21     188.71       300
       200        17.84     264.95        20
       200        17.84     264.95        40
       200        17.84     264.95        80
       200        17.84     264.95       110
       200        17.84     264.95       150
       200        17.84     264.95       200
       200        17.84     264.95       250
       200        17.84     264.95       300
       200        17.47     371.99        20
       200        17.47     371.99        40
       200        17.47     371.99        80
       200        17.47     371.99       110
       200        17.47     371.99       150
       200        17.47     371.99       200
       200        17.47     371.99       250
       200        17.47     371.99       300
       200        17.11     522.27        20
       200        17.11     522.27        40
       200        17.11     522.27        80
       200        17.11     522.27       110
       200        17.11     522.27       150
       200        17.11     522.27       200
       200        17.11     522.27       250
       200        17.11     522.27       300
       200        16.74     733.27        20
       200        16.74     733.27        40
       200        16.74     733.27        80
       200        16.74     733.27       110
       200        16.74     733.27       150
       200        16.74     733.27       200
       200        16.74     733.27       250
       200        16.74     733.27       300
       200        16.37    1029.51        20
       200        16.37    1029.51        40
       200        16.37    1029.51        80
       200        16.37    1029.51       110
       200        16.37    1029.51       150
       200        16.37    1029.51       200
       200        16.37    1029.51       250
       200        16.37    1029.51       300
       200        16.00    1445.44        20
       200        16.00    1445.44        40
       200        16.00    1445.44        80
       200        16.00    1445.44       110
       200        16.00    1445.44       150
       200        16.00    1445.44       200
       200        16.00    1445.44       250
       200        16.00    1445.44       300
       300        23.00       2.29        20
       300        23.00       2.29        40
       300        23.00       2.29        80
       300        23.00       2.29       110
       300        23.00       2.29       150
       300        23.00       2.29       200
       300        23.00       2.29       250
       300        23.00       2.29       300
       300        22.63       3.22        20
       300        22.63       3.22        40
       300        22.63       3.22        80
       300        22.63       3.22       110
       300        22.63       3.22       150
       300        22.63       3.22       200
       300        22.63       3.22       250
       300        22.63       3.22       300
       300        22.26       4.52        20
       300        22.26       4.52        40
       300        22.26       4.52        80
       300        22.26       4.52       110
       300        22.26       4.52       150
       300        22.26       4.52       200
       300        22.26       4.52       250
       300        22.26       4.52       300
       300        21.89       6.34        20
       300        21.89       6.34        40
       300        21.89       6.34        80
       300        21.89       6.34       110
       300        21.89       6.34       150
       300        21.89       6.34       200
       300        21.89       6.34       250
       300        21.89       6.34       300
       300        21.53       8.90        20
       300        21.53       8.90        40
       300        21.53       8.90        80
       300        21.53       8.90       110
       300        21.53       8.90       150
       300        21.53       8.90       200
       300        21.53       8.90       250
       300        21.53       8.90       300
       300        21.16      12.50        20
       300        21.16      12.50        40
       300        21.16      12.50        80
       300        21.16      12.50       110
       300        21.16      12.50       150
       300        21.16      12.50       200
       300        21.16      12.50       250
       300        21.16      12.50       300
       300        20.79      17.55        20
       300        20.79      17.55        40
       300        20.79      17.55        80
       300        20.79      17.55       110
       300        20.79      17.55       150
       300        20.79      17.55       200
       300        20.79      17.55       250
       300        20.79      17.55       300
       300        20.42      24.64        20
